latitude,longitude,population
10.35875,119.3854167,0.893739
10.3595833,119.3876389,0.893739
10.3623611,119.38875,0.893739
10.3868056,119.3795833,0.893739
10.3618056,119.3795833,0.893739
10.3945833,119.3998611,0.893739
10.3865278,119.3834722,0.893739
10.3876389,119.3765278,0.893739
10.3865278,119.3773611,0.893739
10.3598611,119.3865278,0.893739
10.3923611,119.3668056,0.893739
10.4043056,119.3868056,0.893739
10.4190278,119.37875,0.893739
10.3573611,119.3845833,0.893739
10.4048611,119.3848611,0.893739
10.3579167,119.3851389,0.893739
10.4018056,119.3831944,0.893739
10.3740278,119.41375,0.893739
10.4179167,119.37625,0.893739
10.3954167,119.3704167,0.893739
10.3754167,119.3740278,0.893739
10.3645833,119.4248611,0.893739
10.3579167,119.3848611,0.893739
10.4004167,119.3726389,0.893739
10.4215278,119.39125,0.893739
10.3751389,119.37375,0.893739
10.3618056,119.4243056,0.893739
10.35875,119.3884722,0.893739
10.3995833,119.3934722,0.893739
10.3895833,119.3743056,0.893739
10.3876389,119.3745833,0.893739
10.3573611,119.3906944,0.893739
10.4184722,119.36875,0.893739
10.3929167,119.3720833,0.893739
10.40625,119.3918056,0.893739
10.3581944,119.3779167,0.893739
10.3856944,119.3743056,0.893739
10.3865278,119.3790278,0.893739
10.3901389,119.37375,0.893739
10.3584722,119.3884722,0.893739
10.4006944,119.3706944,0.893739
10.3806944,119.4151389,0.893739
10.3804167,119.4140278,0.893739
10.3804167,119.4143056,0.893739
10.4048611,119.3826389,0.893739
10.4068056,119.3984722,0.893739
10.3998611,119.3726389,0.893739
10.3873611,119.3770833,0.893739
10.3595833,119.3873611,0.893739
10.4004167,119.3698611,0.893739
10.4229167,119.3818056,0.893739
10.3584722,119.38625,0.893739
10.3573611,119.3854167,0.893739
10.38625,119.3843056,0.893739
10.3973611,119.3723611,0.893739
10.38125,119.4145833,0.893739
10.37875,119.4134722,0.893739
10.4004167,119.3718056,0.893739
10.3993056,119.3720833,0.893739
10.3581944,119.3856944,0.893739
10.3576389,119.3859722,0.893739
10.3868056,119.3765278,0.893739
10.3931944,119.36625,0.893739
10.3981944,119.3723611,0.893739
10.40375,119.3676389,0.893739
10.4118056,119.3945833,0.893739
10.3793056,119.41375,0.893739
